"AnnualIncome","CreditScore","Experience","LoanDuration","NumberOfDependents","MonthlyDebtPayments","CreditCardUtilizationRate","NumberOfOpenCreditLines","NumberOfCreditInquiries","DebtToIncomeRatio","PaymentHistory","LengthOfCreditHistory","SavingsAccountBalance","CheckingAccountBalance","TotalAssets","TotalLiabilities","UtilityBillsPaymentHistory","JobTenure","InterestRate","MonthlyLoanPayment","TotalDebtToIncomeRatio","LoanApproved","EmploymentStatus_Self-Employed","EmploymentStatus_Unemployed","EducationLevel_Associate","EducationLevel_High School","EducationLevel_Master","EducationLevel_Other","MaritalStatus_Divorced","MaritalStatus_Other","MaritalStatus_Single","HomeOwnershipStatus_Other","HomeOwnershipStatus_Own","HomeOwnershipStatus_Rent","LoanPurpose_Auto","LoanPurpose_Debt Consolidation","LoanPurpose_Education","LoanPurpose_Other"
21410,530,0,36,1,390,0.466095634870679,4,2,0.00669380737600605,26,15,2821,2458,117037,9765,0.792602356391636,4,0.226784734912587,350.966554660549,0.415301198315114,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
19763,582,25,36,3,284,0.24031558833548,4,2,0.0601553262354322,27,12,1647,455,59199,29841,0.705996135229314,4,0.184300165114635,568.693898721487,0.517751696840451,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
46776,536,23,24,0,245,0.0532417584058142,7,1,0.134830838722801,18,2,2282,1214,33986,5482,0.959354395622351,9,0.241635927715741,1069.80507504717,0.337302482054175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
118892,555,22,60,1,361,0.077103057784871,6,3,0.373684375946043,16,1,3232,1705,43517,23476,0.746313718202684,5,0.270216994988941,602.168057162217,0.0972144188502726,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
106482,563,2,36,4,352,0.150689171098385,7,3,0.292684734026325,27,2,621,1953,6165,9376,0.526204835182337,3,0.19873285940644,860.549578663334,0.136648400142372,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
29857,672,41,24,0,443,0.35158490484312,2,1,0.277977182751281,29,16,1956,2863,85498,85442,0.876725119118638,8,0.175181410271019,514.705483000292,0.384916964062146,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
68603,610,15,48,2,556,0.105814676713297,7,1,0.363920434541864,26,4,5858,848,99297,38858,0.784968614654724,4,0.235417884712718,832.664240683247,0.242904404883153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66901,472,32,60,0,513,0.0719733968304472,4,0,0.402691653244531,24,7,2140,507,9321,23307,0.66623226577469,8,0.274082801860027,374.251840053105,0.15914593325417,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
57097,640,36,84,2,448,0.213628734665385,4,0,0.487569056123224,30,14,629,1461,75747,33483,0.9100837109626,8,0.25511856317444,772.502158003509,0.256511303501797,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69113,621,38,72,0,461,0.352756972622096,2,1,0.311949140415467,21,6,681,893,95714,22424,0.659977716069514,5,0.243739579991964,634.408907944354,0.190194419216822,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
37763,492,16,60,0,632,0.185138700358037,2,1,0.322644148862298,20,8,901,2113,4501,11874,0.664619896406205,5,0.297455156190602,1095.51167236165,0.548953739595367,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
49498,634,16,60,0,507,0.210878254233113,6,1,0.191820381510929,23,13,615,345,26746,28966,0.917279354119062,3,0.233651649098332,669.772946535072,0.285289816930399,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
39807,607,9,48,0,522,0.232842859564999,5,0,0.599331318664782,24,17,2209,483,92479,10051,0.775473284789463,3,0.190279180470562,353.174745241849,0.263825381036054,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
63247,521,15,72,0,583,0.0912207513749942,3,3,0.359365652726849,23,6,2946,1085,63016,32354,0.800699614365649,5,0.254168780834865,693.979299994639,0.242284244310966,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28009,613,8,72,0,536,0.303914521313961,3,1,0.258292941473653,18,18,3228,2961,64829,6837,0.86475252348001,7,0.274246656971633,1034.01945688955,0.672649272829255,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
105745,528,3,48,1,865,0.546024482376003,5,0,0.204779954444701,25,8,335,2662,125243,43924,0.85415048509901,6,0.269236988533301,543.681818909918,0.15985797746389,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
44704,587,6,84,4,307,0.478810547709498,2,0,0.156391531694385,20,22,5297,722,110710,14780,0.720363072818865,6,0.3286524,1294.3841200603,0.4298633106819,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
40555,636,41,48,1,337,0.263938545392585,2,0,0.688192728094136,32,12,3079,1295,139353,28481,0.738324510370408,8,0.162743929224343,363.844884209111,0.207376121575868,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
66880,633,10,48,1,167,0.297995416291384,5,1,0.488070534995168,22,8,4279,3973,76087,23940,0.646682236305486,6,0.207313138045141,600.091892789193,0.137636105165525,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
54570,637,25,36,1,439,0.141977347472554,1,2,0.0777702812627257,26,7,1778,622,61129,34550,0.890558978385367,3,0.199932949740835,491.666170342884,0.204654462967099,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
32195,574,39,72,1,328,0.176879122886821,2,3,0.176868541250257,23,6,2346,535,64548,50948,0.899492415469502,6,0.254563125236089,599.119438429879,0.345564008732988,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35178,488,0,60,1,791,0.515821458896885,3,1,0.0865539019675236,24,21,4334,723,72139,4813,0.860228120617228,2,0.251972316850676,360.234878848587,0.39271188089667,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
105539,561,12,48,0,702,0.136884405626134,3,1,0.168471619502223,23,19,2333,204,70234,74082,0.723413425001525,3,0.238305415790939,548.348718066107,0.142167204699621,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
66775,571,44,48,0,305,0.457856789325866,6,0,0.138265572423216,21,26,1125,1336,49712,4319,0.903308330055163,3,0.228998307370778,406.453002628545,0.127853778083752,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45523,562,32,24,0,793,0.359893526567139,3,3,0.46518205701611,29,14,221,1529,105717,11995,0.639550898528436,5,0.215315100370941,1156.22343726662,0.513821172752222,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
20675,517,33,12,0,92,0.0342871765297939,5,1,0.684429169503618,19,12,796,1339,36622,2641,0.550593885765929,3,0.222125298545226,815.067549225279,0.526472096285531,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
88680,585,9,96,1,851,0.147329353993488,1,0,0.677749623477031,26,22,6989,211,43049,21288,0.774090741305006,5,0.273730213540914,334.583114958938,0.160430732741399,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
21199,674,26,48,2,446,0.227162141236948,4,1,0.261178816460131,20,29,1741,471,122376,38552,0.976107097745872,8,0.201543714166436,994.499492993331,0.81541553450257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
64011,535,19,48,3,468,0.21686437193306,6,0,0.447200839181427,24,8,1022,357,163380,49678,0.976482110962221,3,0.260142391839827,599.40008459189,0.20010312313669,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29454,625,18,96,3,408,0.138588038180613,4,1,0.238428211800487,24,25,901,604,70959,4357,0.649625200286939,3,0.282494238070826,1399.27449346013,0.736310651236558,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58030,634,42,60,1,425,0.385170455580127,3,1,0.199288093286889,23,7,8284,307,41091,35947,0.836431262417798,4,0.219174449922897,547.524665385201,0.201107978366748,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
36518,470,0,72,2,276,0.37935880203647,3,0,0.236506717935263,17,2,1498,544,27994,13151,0.631392960029154,4,0.27653705371222,518.044894750402,0.260927179391117,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
62355,520,18,36,1,414,0.143505459741154,2,1,0.399210743168459,18,13,4714,1740,19599,6771,0.828719957610113,7,0.261941101195525,1584.82189275093,0.384666229059597,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
55376,579,10,60,0,215,0.0981876119319289,6,0,0.355499393746021,24,22,2484,3967,115008,40527,0.917424634991079,5,0.240701751562761,428.529600148317,0.139453106070857,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52809,633,10,60,0,668,0.16572854288892,2,1,0.533822538716974,36,2,816,1179,73515,18982,0.821206897315223,6,0.244746637236225,849.715302825283,0.344876510327849,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
64561,578,18,36,2,612,0.320068978348638,3,1,0.181430097392949,20,17,3108,2289,39805,16117,0.892330827837398,4,0.161864,223.126982933052,0.155225659379449,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
26703,488,27,36,2,572,0.318893425012902,1,1,0.172263590765593,23,25,1532,1159,19859,2168,0.825400407932366,2,0.280984132022621,1196.61343421026,0.794793139741719,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
86929,515,17,48,0,701,0.383589512037591,6,1,0.288150694732691,18,17,9514,1981,23522,56936,0.829571594453753,5,0.273979240264913,545.199794661079,0.172030019164294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
39151,526,2,60,3,303,0.133899749793927,3,0,0.169751163453353,15,20,4549,810,8643,45355,0.936118406396067,6,0.271067794593341,698.609889278991,0.306999021004518,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
100221,557,12,84,2,664,0.231429660555235,1,0,0.397896237887523,33,26,1074,332,15094,4252,0.88495084129526,7,0.245698538599854,345.288937087315,0.120847599256122,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
69010,620,13,108,0,490,0.136931978182033,2,2,0.366484126352673,27,10,1068,150,25686,7672,0.675845702147495,6,0.232083223688746,370.130201867837,0.14956618493572,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
63446,532,24,24,0,386,0.236391382286185,4,0,0.271362915504008,22,24,2077,690,26520,6999,0.745547165767469,3,0.208621242130423,930.445837557381,0.24898890474874,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
91303,633,22,72,0,477,0.0836002547736435,1,0,0.0375475093114149,22,22,1505,1606,52110,26939,0.730352637190869,7,0.247219038395638,597.595214240671,0.141234598763327,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
45889,561,0,48,5,262,0.298703275650392,1,1,0.0515823936851977,15,7,2609,520,56307,36689,0.733249899548655,7,0.218959199474529,612.072123941646,0.228570365170297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38224,521,29,60,0,407,0.268826403913854,4,0,0.38576898253247,19,9,1226,4102,33199,2988,0.861860902813337,4,0.290785712074995,845.797322615264,0.393301796551464,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
29036,530,17,36,3,253,0.269783083957969,2,0,0.485505663183039,20,7,1411,284,6830,34742,0.836538220118419,4,0.22041069741178,797.287184701503,0.434062757143478,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
70911,599,33,24,2,627,0.597873178167406,4,0,0.155516238466613,31,26,98,576,58248,16220,0.865596706379582,5,0.228460067626185,1775.00853673618,0.406482808602814,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30396,608,22,60,2,475,0.180474954868074,5,2,0.180486209529456,25,28,3830,318,4148,33776,0.888384504024968,5,0.248639778228955,633.672289886148,0.437691389611586,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
59363,582,19,60,4,397,0.514856001301006,2,0,0.158275382849872,25,16,8260,819,51558,62124,0.825785101609201,2,0.215102492850976,324.70382451438,0.145889626436881,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
24261,538,26,48,2,365,0.450476221754194,4,0,0.169362982258522,33,25,1364,776,7668,10289,0.882053349042639,3,0.280973358505771,662.795629467399,0.508369298611302,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
79406,526,0,72,2,457,0.122192901677225,1,0,0.0933429800017295,23,2,9347,1375,142950,21554,0.844972075606392,3,0.229436886649523,544.253773593697,0.151311554329954,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
87075,655,23,48,0,585,0.214243774026361,3,0,0.135748839273406,23,29,3065,2021,61880,936,0.82602203452368,7,0.214208726664223,515.549873419143,0.151669233201604,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
110546,544,17,60,1,339,0.312749911416901,3,1,0.288170435510711,30,12,3538,3455,81069,19564,0.732302920703169,4,0.277473899702391,1555.62471063936,0.205665483397612,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40194,578,17,96,2,173,0.224548368204245,3,1,0.0849593252640098,34,17,2347,1525,161084,8394,0.870250612090903,4,0.26836675549627,490.305000194495,0.198031049468427,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33833,600,0,48,3,471,0.32384603086747,4,1,0.697873469182791,28,23,11728,344,56843,17726,0.921336043074245,3,0.245271631838051,865.670182616102,0.474094587869631,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32685,624,16,36,0,355,0.43595603160896,5,2,0.333080404331111,30,17,1423,2570,31710,8816,0.742647258181192,4,0.187998649894263,531.325635616379,0.325406382970676,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50704,519,12,84,4,328,0.404773841138789,0,1,0.423666453246891,22,20,1562,1340,8271,17166,0.896640844961054,2,0.269908573339801,518.400156841333,0.200315594077311,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
70722,588,17,48,4,388,0.42433053407922,4,0,0.320891583338067,27,14,3424,1955,18792,57983,0.607288257117489,6,0.197926203173363,367.447850165588,0.128183227312393,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
15000,562,16,60,3,264,0.218697977750119,6,3,0.0520249088698405,31,14,1323,313,71668,31744,0.873691722536068,1,0.281456469312073,378.057117591534,0.513645694073227,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
61389,529,27,36,2,452,0.271449429072083,1,1,0.193556105835781,19,2,958,2148,22188,17936,0.540366930834111,3,0.228393060722193,400.822181257008,0.166705210625423,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
55429,584,20,36,2,209,0.0960753314635974,0,3,0.31151706525161,22,23,3839,1640,21476,4721,0.821246838025176,3,0.213890605031984,414.846199664073,0.135058442258906,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
54297,630,13,36,0,753,0.238300926945332,2,0,0.148353591476025,22,10,1416,245,20977,13198,0.482037001022006,10,0.195780963496041,992.596897597388,0.385788584473703,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
41310,589,13,60,3,609,0.202441230500709,1,1,0.239099366660546,27,10,3005,122,112819,12017,0.643649547228436,5,0.24039070973154,635.467195772259,0.361501000950547,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
85390,585,20,96,3,456,0.492232839737279,2,1,0.164736032366103,30,4,8908,284,31669,8737,0.872376259933257,5,0.303944866330598,527.576659271193,0.138223678548475,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
75256,593,14,60,1,357,0.393372809037038,3,0,0.200271294801908,16,16,3579,3797,127684,31007,0.919435964518121,4,0.250095293522706,670.218263472031,0.163795832380998,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
117959,546,0,24,0,233,0.0724867248836608,3,1,0.283831143280098,23,4,1417,1494,68347,33951,0.739666480818234,5,0.1751192,839.687509795084,0.109124781640579,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
25004,516,10,36,2,420,0.318508599586886,3,0,0.491855577241329,25,27,3573,473,14367,22948,0.686979412830846,3,0.260185861750842,851.469429345254,0.610207692854865,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
28884,579,9,36,0,337,0.317324907469747,1,2,0.359388186715605,17,8,6449,871,15363,3084,0.756946519294821,4,0.184370895463879,505.207619345788,0.349899301763933,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
119190,591,23,60,0,165,0.23541529201933,1,2,0.209738791047663,18,25,5888,1875,75886,44920,0.919186927430269,4,0.210953357345066,589.577602267902,0.0759705615170302,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
57832,603,7,48,0,413,0.191725844817221,5,1,0.223235932659756,30,14,1411,2960,101533,29775,0.912340920395854,4,0.188443747596742,505.654641507122,0.190618614228895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58092,583,21,96,0,240,0.308898835503773,4,1,0.486871149886499,19,8,4447,665,12109,13686,0.605909234477806,5,0.286733852162237,412.624513423027,0.134811921797775,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
17676,599,42,48,0,387,0.273990580713516,3,1,0.110721998179385,22,21,1984,1095,139191,16572,0.883431407087943,2,0.199859529871895,660.359004468383,0.711038020684578,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26603,627,30,48,0,409,0.0226698169466781,1,2,0.475467945475006,25,15,409,581,87365,34927,0.886986572631908,6,0.221493275246177,1280.41885440633,0.762057897713638,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
21281,566,16,60,4,544,0.349066177975034,4,0,0.184171525086623,22,16,6320,937,66394,33903,0.7300107899731,4,0.210331235786457,567.347820132704,0.626670449771742,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
24957,588,12,24,1,371,0.100150816612405,2,0,0.269939329707749,26,3,6030,92,34811,26268,0.846759945855886,3,0.1623008,1073.52348690714,0.694565927110056,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
95731,660,18,36,0,424,0.342576788400227,6,1,0.454181606823224,21,3,5006,999,90090,13877,0.803417544664823,5,0.188951581700068,1086.41465128441,0.189332356451024,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29468,626,13,36,0,360,0.374606233912415,7,1,0.135807008311799,25,5,2144,976,166571,82884,0.800571887771443,8,0.184778885257359,858.901265878465,0.496362671051363,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30924,549,24,96,1,163,0.387696679945136,6,0,0.0980372431064928,36,11,609,3804,28910,17246,0.766868549979199,3,0.268992136668603,787.866080862074,0.368981793116831,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32253,573,3,60,1,263,0.217727050189901,2,2,0.174651433726644,31,8,4738,707,153208,12658,0.593514401470086,3,0.272842914347786,532.893478368194,0.296118864614713,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
40833,592,5,84,1,228,0.433770155021678,3,1,0.212793362513232,22,16,1453,4114,21200,11165,0.94224552634668,3,0.264036751232862,551.872250748626,0.229188818087907,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
23038,568,21,60,0,182,0.341328869547458,5,2,0.378195213531186,17,27,5065,889,128022,72202,0.782015800352162,3,0.243223018537464,492.240887298184,0.351197614705192,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
82872,619,32,36,0,393,0.0984133345651541,3,1,0.190715959258119,20,20,3527,2786,20032,24291,0.887866374810793,5,0.184401290884299,384.72323807624,0.112615586168005,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
51028,545,8,36,4,653,0.134914531685616,3,0,0.219584502072202,25,9,5339,2030,29112,16567,0.85936487127455,6,0.22904832667495,1663.46839829861,0.544752308136383,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
52729,544,1,36,0,663,0.23257004438808,3,0,0.526124546948493,31,11,1366,673,39675,53405,0.879765399084962,4,0.24746122197365,604.568943512219,0.288471757896919,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
48978,471,7,48,0,368,0.110303189394796,0,0,0.29100874965427,17,2,3785,1937,34166,11243,0.8708960315837,2,0.282926616567716,816.206747502809,0.290140082690876,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
88497,561,15,24,3,468,0.273760088998008,3,0,0.323420950444243,24,9,1661,2139,8851,27118,0.894855386597316,2,0.25417110363515,1472.51380628156,0.263129435747864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78040,556,38,24,1,411,0.298825598826736,1,0,0.290341521606908,21,2,8654,1317,27730,9143,0.863472637801068,4,0.180026866128308,1223.57170542227,0.251343675872209,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
56013,479,18,60,2,140,0.574170553533633,4,2,0.392459769882698,28,27,3617,262,21487,23422,0.886303545135707,9,0.332406493547402,843.243075091044,0.210646044687707,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
28196,642,36,36,0,685,0.0959627289683672,0,0,0.249213473130643,18,9,6023,550,49129,34492,0.926648291902436,5,0.171951535151242,568.602604240328,0.533523593803516,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
52744,635,22,36,1,301,0.148565987956684,2,0,0.417567526775388,25,11,6523,2655,22855,9208,0.818213221611859,5,0.183568013556325,656.984980008286,0.217955023511668,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35302,548,3,36,3,278,0.168521750567286,6,1,0.458010236133608,28,15,4263,1742,27184,70481,0.626833346140667,3,0.260233011374131,1163.02465364687,0.489838984866648,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93643,606,25,96,1,354,0.263618561641117,1,1,0.351797272566367,21,25,5896,181,33378,9806,0.967303298041104,5,0.262901348649323,349.030026009745,0.0900906668103002,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85340,618,26,60,3,599,0.267067948522215,1,0,0.174636488336748,23,22,1775,616,30256,28630,0.805251595998294,8,0.193118747016028,337.607974133019,0.131700207283762,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
39818,539,19,72,1,783,0.0896495006393059,2,1,0.242765574183599,27,12,8451,2434,187387,10256,0.946899182016675,8,0.274347266079487,487.693055399448,0.382950340669882,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44292,541,22,36,0,310,0.0886443191376886,5,0,0.562732470098361,23,28,2810,255,40371,34197,0.716568893539692,3,0.213858728073894,597.681379067048,0.245917469267691,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50835,545,11,60,0,256,0.169575377692343,4,1,0.112251209074031,31,4,346,3182,17215,28448,0.520438089689452,2,0.256848229238807,599.427385549063,0.20193033592188,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
50534,641,21,36,2,841,0.0932786103576767,1,2,0.601616404738569,22,17,3291,1694,4985,12168,0.816400035695689,4,0.180271229656248,1193.9844297605,0.483235310031384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33477,582,30,48,3,465,0.289450643588541,3,0,0.349941814225175,24,25,4079,4291,28458,10010,0.756726628816171,6,0.209823418256055,303.370740914456,0.275426379035561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48755,617,22,48,3,425,0.351533917934635,4,3,0.151865600580669,17,29,8705,771,10148,19554,0.904712983351294,6,0.220353973456805,578.047864410767,0.246878768801748,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
121053,641,21,36,0,704,0.304384160030499,1,1,0.328376460990621,18,12,362,189,64626,10718,0.98974773086725,2,0.224779945521322,1014.46037967587,0.170351206133763,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
61571,466,8,48,2,570,0.14063438815706,2,1,0.229758151678841,24,19,1708,989,145289,23104,0.870631557242005,4,0.261602549007459,530.845829583661,0.214551492667066,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18558,559,9,24,2,577,0.319269013735803,3,0,0.457884308714824,26,14,1267,1606,24388,25342,0.91270840870098,7,0.234083076643164,491.798144935598,0.691107756182087,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47545,625,38,96,1,404,0.12684977215802,2,0,0.286580981576269,20,3,1898,662,62947,23364,0.604382664654929,5,0.198119518018273,225.779785555782,0.158951675815951,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
30878,547,34,36,3,332,0.0317773176838335,4,1,0.371213435594436,24,4,309,231,46881,4226,0.770530905034063,3,0.280290868234847,1885.53072420378,0.861790552835201,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
29904,566,40,48,3,346,0.171818459514454,2,1,0.488254109535464,21,9,3542,2048,53985,25454,0.61159555832698,6,0.195643218566421,413.48085813676,0.304767599573339,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
77019,613,2,48,1,269,0.0801188685818729,7,2,0.28641530131905,24,13,401,528,25363,17308,0.751964658832818,3,0.199077404172309,651.464684726524,0.143413653990811,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
41503,569,16,48,1,269,0.198909808387429,3,1,0.092264557808013,26,13,2213,148,84754,46182,0.874537983512334,5,0.258694805623073,687.513443259291,0.276562208011746,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
78574,536,6,48,1,143,0.222158114651986,1,1,0.307169988928365,24,22,2503,2364,46715,20506,0.747975528280426,3,0.236684864436683,428.025868252578,0.087208369422849,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
55684,568,14,60,2,302,0.466043628673952,2,0,0.0330886992551424,25,27,1231,1651,29229,26955,0.785493991867743,6,0.291693676154528,1029.8055420304,0.287006438193463,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
51651,574,27,48,3,634,0.259061141063589,4,2,0.626009049108372,22,6,1280,1112,16862,11173,0.710712401980959,3,0.24064090500635,1504.97012455281,0.496943747355012,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26643,497,32,72,3,237,0.42736084275377,4,3,0.359084227866507,32,29,588,318,17647,70984,0.806064132767109,4,0.287353356939424,583.335749200948,0.369478999752707,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
94722,525,29,60,5,470,0.274156564297986,2,1,0.1036624655135,28,22,6643,1338,90414,9870,0.668674444365305,5,0.284591430388733,335.966301587079,0.102105061327305,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
35846,536,3,24,5,404,0.217076688935147,4,1,0.476744350752914,23,18,10011,1278,45563,17104,0.78848873485731,3,0.235217975409708,845.228905351969,0.418198595777036,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
53789,626,15,96,1,122,0.402841569379764,0,0,0.129411242861718,24,4,1129,2371,79377,4014,0.837683115809795,8,0.199554967338802,155.936499352334,0.0620059490272734,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15000,549,9,60,1,450,0.590952003744017,1,1,0.256403428587441,25,13,795,157,86736,22422,0.591536291146625,8,0.2640429998246,574.662842411276,0.819730273929021,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
42834,475,6,84,1,431,0.217989151801155,5,1,0.229046752561313,20,3,763,419,45586,29588,0.716960242714158,5,0.315374201188277,350.244833711485,0.218866741479615,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33137,572,18,24,1,165,0.372749735829059,3,1,0.105933064605869,20,8,2429,1744,48125,4820,0.777031441146881,2,0.179051225562292,648.766675482446,0.2946917375076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
